utrip_id,city_id,hotel_country
1038944_1,54085,Sokovia
1068715_1,29319,Cobra Island
1075528_1,55763,Bozatta
1110462_4,11930,Alvonia
1132565_1,58659,Axphain
1154346_1,56590,Marina Venetta
1212276_1,67025,Borginia
1216960_1,40413,Gondal
1222345_1,58299,The Devilfire Empire
1237581_2,2416,Drusselstein
1247561_1,55284,Rolisica
124951_5,27115,Gondal
1249571_1,17764,Rook Islands
1249810_1,3712,"Merania, Kingdom of"
1254689_2,51090,Yerba
125582_1,58222,Turgistan
1257778_4,42356,Idris
1277291_1,47499,Kangan
1277323_2,44320,Gondal
1282166_1,50811,Glubbdubdrib
1292536_2,21591,Axphain
1324254_2,36063,Gondal
1332429_2,17013,Borginia
1341667_1,16521,Carjackistan
1348282_1,31873,Glubbdubdrib
1357696_2,12320,Cobra Island
1358165_1,25269,Fook Island
1373359_1,8462,Rolisica
1388937_1,35811,Syldavia
1395921_2,8462,Rolisica
1414095_2,27624,Santa Prisca
1436443_3,43969,Naruba
1461361_3,10092,Cobra Island
147285_1,19444,Carpathia
1524853_4,57373,Glubbdubdrib
1535056_1,60222,Borginia
160889_1,57658,Leutonia
1617878_2,14211,Axphain
1629692_1,53450,Gondal
1637257_1,39052,Gondal
1650315_1,2416,Drusselstein
1670328_3,10060,Novistrana
1672741_1,51259,Oceania
1755606_2,65269,Holy Britannian Empire
1799769_1,17775,Novistrana
1826134_1,18311,Cobra Island
1829401_1,60002,Gondal
1867142_1,60143,Patusan
186884_1,53619,Axphain
188233_2,26235,Alvonia
1924076_2,33022,Aldovia
1932067_1,36063,Gondal
1988116_1,25882,Cobra Island
200090_1,52815,Aldovia
2032072_1,36063,Gondal
2044287_1,48226,Glubbdubdrib
2109540_1,26235,Alvonia
2127366_1,32065,Nevoruss
2131681_1,47499,Kangan
2137312_2,27695,Kazahrus
2144488_2,55604,Sokovia
2186411_1,15261,Cobra Island
2202917_1,32392,The Devilfire Empire
2226296_1,3356,Cobra Island
2242654_1,34342,Sokovia
232325_1,40648,Syldavia
2326759_1,22175,Cobra Island
2345229_3,36063,Gondal
235043_1,3763,Glubbdubdrib
2388004_1,23714,Glubbdubdrib
2391231_2,9049,Fook Island
2401304_1,29770,Elbonia
2403371_2,26951,Elbonia
2405316_1,37874,Holy Britannian Empire
2422456_1,26436,Nova Africa
2426960_1,32392,The Devilfire Empire
2429779_1,26436,Nova Africa
2438737_1,44303,Gondal
2445294_1,2454,Gondal
2446002_1,28273,Holy Britannian Empire
2475839_1,20345,Fook Island
2486674_1,8335,Cobra Island
2506183_3,57658,Leutonia
2524242_1,59022,Glubbdubdrib
2525928_1,51259,Oceania
2532190_1,62593,"Merania, Kingdom of"
2540908_1,12734,Franchia
2544401_1,29770,Elbonia
2556382_1,63820,Leutonia
257551_1,45300,Gondal
2585413_1,2529,Bozatta
2596184_2,14211,Axphain
2610775_1,23714,Glubbdubdrib
2616897_1,27115,Gondal
2637527_1,53020,Gondal
2663466_1,56582,Lilliput
2666997_1,62135,Grenyarnia
2668133_3,31088,Fook Island
2682485_1,54085,Sokovia
2684185_4,3505,Glubbdubdrib
2698230_1,23243,São Rico
2720696_1,17127,Fook Island
2726787_1,4202,Kangan
2740294_1,60058,Alvonia
2748242_1,36063,Gondal
2771194_1,61020,Fook Island
2787478_1,11652,Borginia
2798253_1,39133,Patusan
2824571_1,26352,Elbonia
283221_1,6090,Axphain
2842238_1,60695,Edonia
2843939_1,21555,Alvonia
2850392_2,8719,Glubbdubdrib
2868029_1,17127,Fook Island
2875320_1,54603,Marina Venetta
2882376_1,46917,Fook Island
2890566_1,20704,Fook Island
2901839_1,36063,Gondal
2902003_4,29770,Elbonia
2914609_1,33785,Glubbdubdrib
2917689_1,17127,Fook Island
293239_2,21996,Cobra Island
2940458_1,23243,São Rico
2950610_2,51291,Glubbdubdrib
2969843_2,6005,Patusan
2970445_12,31531,"Merania, Kingdom of"
3037580_1,19448,Nova Africa
3044449_1,35160,Osterlich
3047358_2,11857,Bultan
3053301_4,52815,Aldovia
3064277_3,47499,Kangan
3082910_1,47486,Holy Britannian Empire
308613_1,35290,San Sombrèro
3096623_1,47499,Kangan
3097456_3,51259,Oceania
3106759_2,45020,Rook Islands
3122931_1,29622,Fook Island
3129367_1,48226,Glubbdubdrib
3137613_3,53454,Gondal
3140908_1,53470,Fook Island
314550_1,18980,Borginia
3153035_1,36063,Gondal
3166940_1,32140,Edonia
3199339_1,30836,Kasnia
3208471_1,12758,Leutonia
3261466_1,8931,Bartovia
3278168_1,67025,Borginia
3311860_2,38772,Borginia
3330774_1,37874,Holy Britannian Empire
333208_1,9723,The Devilfire Empire
3332766_1,4932,Borginia
341764_4,22338,Yerba
3421985_1,8359,Cobra Island
3438476_5,9723,The Devilfire Empire
345248_1,14549,Kangan
3474424_1,1987,Cobra Island
3475010_1,57620,Borginia
3480513_3,32821,Cobra Island
3505716_3,29319,Cobra Island
3573901_1,35160,Osterlich
3583215_2,60143,Patusan
358581_2,30240,Gondal
3604342_1,36905,Cobra Island
3612579_3,29319,Cobra Island
3642383_1,62185,Axphain
3648183_1,15799,Holy Britannian Empire
3659523_1,2122,Gondal
3681590_1,28330,Borginia
3692556_1,21929,Dawsbergen
3716661_1,29319,Cobra Island
3720958_1,63151,Borginia
3734067_3,56394,Cobra Island
374093_2,36063,Gondal
3771214_1,6697,Santa Prisca
3772534_3,5565,Idris
3780333_1,51291,Glubbdubdrib
3814308_1,27269,Gondal
3823929_1,52815,Aldovia
3833348_1,35160,Osterlich
3854172_1,3082,Holy Britannian Empire
3900257_1,66803,"Novoselic, The Kingdom of"
3935160_1,12786,The Devilfire Empire
3938012_1,12308,Santa Prisca
3968005_1,1034,Gondal
3998544_1,56590,Marina Venetta
4027391_1,19771,Patusan
4032850_1,62195,Gondal
4049740_1,39369,Glubbdubdrib
4107776_1,54125,Elbonia
4107804_1,52188,"Altis and Stratis, Republic of"
413159_2,19448,Nova Africa
4138429_2,45188,Sylvania
4151076_1,17127,Fook Island
4167184_1,36063,Gondal
4174895_2,45132,Cobra Island
4205602_1,20345,Fook Island
4214927_1,22491,Aslerfan
4222342_1,27404,Cobra Island
4247990_1,7246,Drusselstein
4268470_1,33802,Gondal
4274246_1,64876,Fook Island
4280526_1,2416,Drusselstein
4294427_1,12291,Elbonia
4304514_1,11783,Kangan
431482_2,19771,Patusan
4319219_1,26343,Fook Island
4319462_1,15826,Cobra Island
4355279_3,57658,Leutonia
4374366_5,25431,Coalition States
4410749_2,36063,Gondal
